10089 36421
2207 899 1
7079 1562 9444989
5482 4318 1
3149 4502 1
6519 8268 738610
5180 2703 80067
1299 4030 5717
755 2550 1
4056 89 2368805
6792 232 1
1245 6062 9607017
8604 6579 14165083
9238 7893 38846
2403 6169 1
6525 6051 1610850
8173 6628 51511
4104 939 3550558
9110 4283 13996350
8663 1711 1
8834 5724 65799
3804 2286 1
8862 6910 63436
7111 1023 18339
981 9172 68214
9127 3141 7865894
4397 5870 10076277
5487 3984 2475773
5561 9960 1
1175 4505 1
5767 6205 1
7768 9854 1
5486 1758 1
2086 9089 60828
9032 8472 1
2003 4749 29843
3180 7292 1
4291 4423 4962407
8420 9147 1
1678 6766 65221
4583 1901 2009
3475 5354 8151917
4488 3 9765433
2387 4344 1
2707 2555 1
5159 4472 1
5812 4233 1
9787 3723 2789474
3924 5602 62220
2723 8620 1
2438 8092 1
1422 6427 1
2854 9003 1543484
9713 6797 1
4169 3032 1
481 3056 1165720
1951 9371 1
8006 7803 989323
8100 5595 10120
56 5610 1
6971 1331 30884
8194 1833 2223277
9455 6904 8544729
6291 8883 2166
7814 9594 13444867
2736 9227 1
2512 4791 1
6870 4268 1
8258 1312 3843088
3317 9578 327697
4522 7515 5148510
7257 6417 1
5687 9028 1
5586 9244 6426786
5396 2316 7017
6707 5257 3895898
7412 4721 2532634
5158 9896 11105
8242 9404 66271
6539 292 9500163
5782 5868 15586629
7400 634 22394
7857 9406 1
6888 5626 5673178
2963 1255 1
9987 6713 72431
9454 9467 2866066
6673 1741 323840
2961 8095 22663
2400 2577 1
4241 9272 74414
1460 1897 79667
9388 2971 95900
4332 5937 7045954
8707 1180 42796
2920 5622 3695950
2923 8568 1071938
1569 1909 514889
7419 9115 7627830
6023 6279 1695940
834 1967 1
6246 2010 1
6682 3794 6982878
3831 1437 2607589
8815 7365 44619
4412 6292 69299
5266 57 90145
9559 3896 1
5251 7180 13503072
1653 8985 7813136
8532 9847 1
4763 8422 14581
7996 7333 4605382
3536 4845 72722
1107 1634 16797062
254 4563 1
3997 2805 1
6702 8032 6405786
5698 690 1525437
9668 3738 1
9530 6142 5152532
9971 599 8436843
6425 1864 35424
7237 9774 1
258 9672 57621
3072 1232 1
3853 7737 1
7690 9544 1
8168 9584 2366923
8684 7776 81881
7209 1004 1
3058 8669 11935
865 388 1
3296 4794 7828107
6599 6671 1
7166 4052 732763
7066 1065 1
4941 9227 96317
2730 7155 2683
4577 7742 7022385
5038 8054 26581
4668 5614 1
3183 931 40131
3558 8772 1
8237 3679 1
2214 8284 10603054
5286 7550 1
3049 8371 98996
5462 7090 1
9233 1962 1
9018 9980 1
1908 7697 6846290
6830 1446 11619787
5511 6430 31279
1812 8441 96588
2826 7225 1
725 7895 15996768
1587 4455 8193144
8536 8146 83865
8360 5884 1740994
343 9906 1
4664 7887 4189
9753 8675 1342
9522 8696 5957356
9882 2391 1
7536 7510 71752
3916 9679 64674
474 1639 1
7626 5702 1
7903 4401 97021
5586 2502 73644
4942 5802 1
2681 8658 1
5595 7707 1
6134 5024 9497894
6669 1986 13736931
4171 5934 1
4399 937 5534
5625 8843 1
8679 7922 26877
8280 8144 1
7014 9719 1
5471 8216 65036
4381 279 36221
9607 7217 1
2419 8638 1
9560 3844 85501
3220 3560 1
8142 6613 12860289
5676 2114 1
2374 9255 1707686
3525 7021 2316298
4500 1145 3736760
7973 745 16747591
7448 5525 4773736
2722 1565 5719043
3894 1359 75594
10053 2686 3519743
9204 5936 1
9180 9693 32682
1330 7507 84152
2802 394 1
9277 1510 13661065
3789 6211 1046338
5815 5844 1
5896 8084 1284545
8307 9950 1
7739 3822 1
4815 6485 1
3841 9241 45425
1800 4600 3217501
1253 2242 17960
5163 6520 1
7346 838 17793
3202 9208 87825
7844 2175 1
9632 7222 46880
911 3727 76022
7772 2664 94699
7322 2490 1417535
5121 5957 91080
222 10055 42377
4675 967 1
1634 7726 1
6974 8314 56568
1118 8274 1
3684 8964 2590658
8327 1868 1249423
9499 5690 1
3425 6647 37097
6852 9568 12890766
6557 6185 73257
2214 8746 1
355 6706 37598
126 8418 88141
7267 9709 1
3144 5883 9944368
7956 9697 1
5373 6056 4128490
349 7917 1845239
4363 7307 1
5158 2202 1
1206 8204 46085
8481 7323 1
2062 9138 1
1841 1399 4634918
5302 7606 1
5938 2194 71416
5827 6699 7710032
1839 1125 1
365 1503 70300
3028 4923 44636
8375 4345 85697
8962 9567 52258
1376 7927 71062
4382 5798 1
10 5459 92972
5993 7834 1
2776 600 1
3732 4122 7411557
7499 8898 1
8315 5318 382355
7912 8283 1
2929 2781 6270481
5096 6364 7001040
4507 8777 8971094
5267 6321 9704895
8171 5656 1
6018 4429 10525514
7947 6107 54593
7261 6326 1
9633 7784 1
9109 7732 10281557
3501 5385 1
9841 4699 44704
8646 7531 2966808
1583 6972 5354046
1841 734 5629422
10074 4162 1
4468 5756 1
8904 7738 54394
3040 2799 1
6458 2699 8424480
6922 6645 5402044
5035 6096 19292
1216 9898 1
5227 9587 1
3957 192 56802
6689 3334 1
7022 1042 96588
8616 2445 17002723
3481 7258 1
2332 4702 19395
5802 2871 1
4138 2855 1
2637 9014 1
5706 608 5438788
6519 6098 1
4310 8872 38835
5789 9998 564325
0 2889 8861237
2050 8586 1
2982 2788 65964
4691 1516 85062
7525 3335 1
7292 8112 2955203
2466 828 1
4647 9735 27858
2711 9514 1
2337 3312 9848201
5709 6074 8715540
7014 5057 1
10074 4109 1
2488 3850 1
6164 172 6315400
5029 7352 85460
2595 5491 1411928
6969 3627 8529742
3149 1596 57761
2155 8109 4124993
6620 4110 1
1027 4800 1
8434 522 1
4138 5577 1
4416 4998 1
9076 8423 1
6313 5982 59221
7346 562 6643
9338 7269 91119
5715 150 12426574
3070 7369 2961329
797 4921 1
6065 2459 219699
5420 3325 31646
1146 9161 11316
1994 1541 90543
4553 4921 16671
1064 1594 6158599
3881 3236 6703179
9356 6614 1
384 3072 11127496
8655 5700 4364030
7993 7979 1
3786 5401 36750
6211 6484 1
8449 9368 43306
799 4936 1
6346 2543 1
130 2383 30947
1322 124 1
2086 7576 11796194
9627 5399 1
5108 5806 8553490
953 4353 4653292
4234 4137 91939
3967 5205 143189
4042 9572 1
7182 4628 7607
2143 8807 461490
913 318 1
5398 8313 1
2097 6840 63319
839 3526 9521582
8300 10049 7483483
1008 3284 3007775
2156 1186 23396
9892 3096 1
8884 249 1
264 1893 74533
9931 4851 1
9237 5867 3431363
8177 7305 35175
5998 4226 5123629
2550 4108 82371
4623 3358 1
1441 3101 52533
823 6277 5215032
2012 1689 2362306
750 9436 2532973
1671 2589 1
6749 1662 1
3345 8130 7159830
1211 1943 4493378
3803 587 1
4066 742 1
3923 5611 2865908
4409 2718 1
8514 4788 10357732
5483 6517 1
3165 4310 14531966
1642 2450 82130
4750 881 1
5332 8246 1
9078 9182 3149215
9484 7518 28340
2594 573 1
2665 111 1
5165 7158 78669
5771 3857 1
3699 4931 17213
4017 692 1
6706 9480 4992671
7077 4755 6287290
3327 6563 35036
7140 9803 3105023
5898 1102 1
7659 7323 1
2055 1143 6827449
8388 5886 4998019
9807 6954 13994
10017 8775 1
9165 4935 56291
2552 7520 1
6441 5895 15538731
5668 3401 56719
1151 4817 1
5316 8453 1
1784 7107 9162970
1068 5004 5452689
7757 4234 1
825 8560 1
3288 5285 7569011
8482 2317 44516
5257 107 44611
5726 3218 3956489
1126 893 1
4345 2255 1
9560 550 1
3419 8680 140710
9235 4365 1
7170 8618 1
7149 8839 2876
3250 2608 57460
5028 4375 13879832
6779 4639 1
2271 3880 1
6097 7294 1593631
4049 6062 1
9520 8196 1304844
5396 3349 6492743
7975 4176 8891400
6029 7331 1
4937 111 1
6422 3164 6132844
5249 588 1
7792 5040 1
5030 2651 1
7733 9631 5065054
3512 6246 12449077
923 4839 1
4900 2315 1
9252 4665 1
2204 1622 5049973
7879 8947 88883
111 7115 146048
4646 7297 95775
9315 1968 1
3644 3297 3043263
8033 1064 1
6683 7092 2388562
8857 8183 1
8338 9101 34241
1314 10006 5934214
947 9828 3423900
5623 1817 1
7609 8861 16729539
3346 5 12020
2633 1791 1
86 8140 25763
1733 9530 1
593 1950 8940634
5133 5685 1
7507 203 1
3648 8544 1
8774 7955 1
1872 8846 1
8122 7062 1
8684 7122 1
9456 3513 89892
4987 9990 1
6959 468 1
2590 6362 9173253
1442 6782 1
3645 4850 1
2292 325 1
4940 8629 1
434 3617 24074
4616 6462 13684564
2463 3122 1
1703 6040 3041071
1885 275 1
5508 3199 541
1214 803 34915
4938 4939 1
564 3530 25418
2192 1914 62315
409 4174 1
374 8426 2408625
5059 3655 1
9841 278 1
8199 8648 5359760
6563 3358 435031
1668 6872 1
7402 2905 654300
1520 2771 1
1554 3329 1
6385 5499 664637
5431 7405 5629918
2612 9685 13057863
9736 8100 64835
5026 2511 4922208
6652 8602 1
2151 2875 15307284
4626 4813 8331770
6550 6996 1
6993 8579 1245910
210 9383 61008
3373 5573 3533387
4057 9144 7093175
38 8328 9488592
2590 6167 1
8168 6010 463536
4360 9371 8491827
6800 4753 4757797
7334 4304 1
4655 8811 1
4362 1772 1
9965 1627 4114575
8180 1725 2605808
1936 7601 1
1221 9551 82536
1947 672 1
2638 9030 68390
7351 5010 54849
1431 4946 1
5198 873 7751468
1949 1358 53101
5760 463 1
9281 3688 1857266
1522 7898 8389416
1070 372 1
5127 6546 16246867
2006 2218 7294957
540 8595 1
6739 4764 11139
2047 3960 3979756
9565 9344 1
8641 136 2066032
7469 990 1
5252 2460 11731398
4793 9155 1
7384 6520 1
3192 2721 9046252
6907 997 1
9180 7359 1
1580 6187 10115966
1677 6703 98110
7486 779 18165
724 1810 2330970
9615 5574 19111
6040 4357 1
9553 8739 1835719
7544 8795 6229
3348 7974 9809876
1534 7020 1
3423 10004 1
751 4087 12796899
2328 6617 8657243
9570 7957 1
6804 4535 75179
3520 3861 1
6552 6361 3762402
9393 105 1
2469 9583 1
6340 843 3627194
3959 4610 69771
1206 8633 15158716
5505 1854 1629818
6739 6791 28223
3811 8126 1
6677 2199 6844784
8464 8421 2438463
2843 6777 1
8219 4028 1
10062 4543 1
8656 1516 922352
1461 4734 9419395
7433 9403 8927861
4152 5175 434183
7032 5849 1
5598 505 1
4828 8780 94102
2210 2153 1
7502 6001 13782354
8529 789 10922990
9792 7818 10503710
411 5939 2222659
7949 4964 13451576
5219 3264 11323736
785 5021 88570
6868 5603 2554028
916 1197 10330
1661 7126 6114148
175 6968 4197247
1657 7176 3021537
7139 9959 4075264
9901 572 46703
113 8482 7806561
7826 9546 6311577
4144 3603 1
7739 8279 1412994
9808 5126 16547527
1817 7530 883417
9835 4468 37187
9403 1513 93656
336 3827 4037162
5514 4362 1
1205 5952 1
8748 1090 1
4316 2075 10188
5200 7420 55478
5054 7479 1
1586 9645 9530
1329 4474 7329266
9486 5627 51219
9902 4694 1
5528 5784 8810031
9115 6013 1
4401 6928 1
5674 2262 1
6889 257 592425
2048 5289 5576655
1789 4459 11896654
4140 9491 8905220
535 6534 81221
8172 7912 12868640
240 3151 2001147
3940 8033 1
2731 2800 1
4228 2948 1768867
6211 9936 83971
90 3972 1091351
7718 5815 9439108
9518 3830 87208
4404 2823 1594819
1721 2365 2612030
9182 2306 80450
2098 1059 7281484
4257 7678 479559
7590 6001 4604302
6925 800 1
8210 2580 1
453 4905 3911459
6502 4819 69776
10086 3691 9047767
4531 1170 1
9602 1956 6399640
7572 7777 10680
3332 7780 11219068
8668 234 4161035
3401 6669 64762
8184 1420 8218342
40 5192 78757
3391 742 72181
7154 3711 53501
6900 3750 40202
4310 5077 1
7549 515 12589711
7449 3634 53367
533 3133 3834605
8265 3866 1
9587 9688 15017885
1808 1483 1
2209 4898 32207
3200 2937 3440323
7996 7394 17055353
7772 6067 25783
8020 7764 1
500 4009 5122419
1995 8788 11687563
9944 9786 1
480 4483 4609538
9025 1142 4862359
7345 4277 5736479
7043 3290 1
6985 95 7548103
7054 4873 3584857
3104 1583 1
39 4301 1
1116 5689 66098
4412 2163 63487
1639 6807 17062983
361 9764 89011
386 5155 6421989
1204 3231 5844
3364 4997 6764253
3686 7074 4450731
9010 8285 94730
7753 3150 86171
8597 7573 1
385 8585 670024
235 6717 1
5408 7769 89844
8487 7950 1220543
5316 3597 1
2434 7818 4134009
689 1782 28256
5429 8863 1
532 9175 1
2768 655 1
4168 6363 5884006
4422 6859 7549980
5313 9010 39736
1942 6040 3602829
1974 1408 85102
8685 7578 1
2759 953 2646026
2780 6499 1
5515 5251 1
8400 1831 6210549
1460 7190 1
8262 913 1691834
3353 5249 72339
6725 1622 12330235
9887 6080 2408015
9898 782 48659
4103 2374 13382331
875 452 1
9842 7926 5552918
2293 6963 1
5914 122 25129
4185 1724 12272229
8679 3342 20508
4229 8586 1
4081 8458 1003111
688 6148 93980
6651 9531 1
1165 4675 4633183
8561 6084 6573856
3027 8439 2982718
8168 537 1
1836 9656 6877
9391 8304 16414572
418 2823 9023575
4698 499 15948
4776 9128 10073187
1757 7098 1156319
851 8788 14621745
1934 5130 87067
9270 7374 1
5741 5406 11631227
8507 4375 13049
5829 2989 18645
9744 6565 518962
53 9000 1
5760 8840 1
4735 1495 1
4852 5584 1
4601 9627 10860285
5123 835 2811593
3727 1186 9783617
4204 9670 1
6045 7597 1839458
4193 6550 1
8565 9715 1
1113 2006 1
1306 509 1
3706 4235 36525
530 4720 12086059
543 5162 2121
7025 2865 83732
6131 2930 12051801
8379 9292 1
8755 5089 17764
4412 5683 51701
4823 5283 77226
3 4278 1
8824 1108 15397658
6319 6586 7754806
5735 3932 1
3425 1956 1
1741 2814 1
3038 9164 40968
2572 3901 16384633
9412 9668 12275
4174 9953 1
6657 4705 5684528
9291 4893 89327
8641 3013 13976532
8132 4078 2762267
9080 8480 1
6041 6156 1
213 4663 1
3029 4500 1
5331 1880 12470289
5773 2870 1979017
3801 7188 3785836
8958 5293 13039294
4226 7486 1
9049 4502 6357776
3699 5380 954266
2988 2767 5073978
7609 4558 2508612
7948 9557 8921426
166 7965 3316205
6170 9061 4590
1159 3000 5923
5337 485 71676
5654 5703 1
8774 6607 1
3801 1155 67219
4604 6017 1
6974 9575 6628275
4959 6822 45792
7774 2978 44936
5048 9326 68412
3147 6654 1
1863 8945 6336445
4854 4576 4184
9036 5355 2831154
7514 5248 7203208
2825 5813 1
6779 7709 1
3981 9428 78615
8965 9682 12477895
4074 6625 1
2251 1427 5060927
2266 2101 42704
9708 6184 1
8923 9836 1
4510 5900 33850
9962 2007 5083804
8213 7949 81649
6103 4413 28544
8241 6589 7318
1453 765 1
10081 9518 46480
8475 5647 1
9390 8712 3341744
3890 5581 6437237
3005 8794 1
9793 9433 6097776
7286 2535 7331450
319 7815 1
1999 4525 16754
6777 5354 13951776
3976 7869 1919387
9155 3429 1
893 5703 6088040
8112 9239 21370
5884 9420 33970
1092 7502 75549
2441 546 97868
10033 800 1
9760 346 2679610
3730 6981 1
5000 7210 47082
7318 5214 2566930
4024 4044 1
5937 6906 1
3852 6484 71751
4705 6350 1
2280 6973 17222363
8858 9134 6160579
7730 6468 1
2416 3525 11106453
6030 1235 11473568
7260 5374 1
502 7065 75620
9992 9054 96755
514 3903 1542294
9192 771 1
3306 4961 1826961
5601 5936 1
822 7216 14636519
2976 2645 1
9078 6786 1
9908 8558 1
5513 8930 9371956
639 5234 1
6587 4991 1
5968 1610 8027
1414 858 1
7189 10046 84542
10043 8340 1
8815 13 17671
2354 2249 1
3713 1144 1
6026 3482 1
9312 1991 1
7718 2292 6515619
1391 6105 51054
6172 930 2797076
7959 348 10581827
9012 2799 5452222
7832 6754 69436
5065 5188 4365353
731 3013 11840990
6412 1979 1
8381 9186 36523
6142 1803 1
5530 9962 1
6055 6830 94816
8612 1967 14046
9601 4450 32113
3296 3222 69647
2210 1946 1
9796 4173 1
4294 3663 1
5118 567 1
7543 2866 13555
9320 2405 1
4931 4118 1
7807 463 1
1015 4987 463903
7239 4269 16898069
9357 5874 61211
2381 9543 1
979 6041 3688035
7209 4026 1
8332 1752 1
8588 2768 92762
843 2379 1
7441 1560 1554398
6952 5728 1771
6777 6240 110330
3215 3579 82464
4263 8915 66558
2027 8272 1
5487 8088 7427896
6709 5759 56464
1690 10022 84643
8647 4586 1
2120 19 6343679
5593 4838 3182524
8538 4117 9351773
5339 8344 10737274
9436 6267 51195
2885 9607 1
9696 3824 61446
8533 4447 1
9418 8985 1
6949 4119 1
4668 2965 1
6996 5935 7790690
7232 1435 16473397
1506 96 1
1082 6713 4206784
7891 35 1
1254 1340 1
365 1758 1
4625 2085 3798
7679 3902 29267
1505 9838 561244
5786 1878 1
913 6904 1
3343 6264 1
8289 2065 1
2886 8689 82275
4163 6014 8004721
2843 5491 7728303
4885 5297 3312886
4214 1478 2492198
5807 7267 11194608
3600 3471 8623202
9789 5781 3471597
1890 2911 6428079
789 1541 4380583
8176 369 8502662
6154 234 3154038
2320 2746 1
8933 3193 16450
3293 10082 1
8076 6220 95651
6037 1251 13684686
4117 7763 5073009
5864 8835 88376
5208 2902 1
4398 3116 2993563
5650 9185 527802
8281 7809 52444
8963 3890 1
3847 6876 1
5234 2660 6536347
8010 7551 1392781
7892 1399 3976574
5511 5210 49981
247 3367 15877
4445 99 89377
1029 9961 1
1364 8183 1
3731 270 74201
10080 1123 1
8083 1261 1
5145 5487 7653
2606 9138 1
1231 3997 1
825 3995 30236
5403 7139 63010
8951 6026 6747050
1084 10081 1
9989 1889 81150
719 1387 1
4238 2840 70990
2936 5652 20963
207 231 1862426
3541 9059 1
1088 9507 46985
8462 6735 1
3400 8543 1
1704 83 82378
175 5158 12568976
8034 6077 30975
8702 1466 2278728
5964 615 687391
9293 774 7946229
6858 88 81453
261 8125 6394750
1655 9 4709290
1289 795 1
8157 3466 4900980
8766 7969 10726439
7907 9431 12281
2319 451 51901
1987 9950 42175
9539 3209 1962516
7896 400 9403217
2341 3631 72637
1899 1465 5005865
5337 3690 14168940
8876 8213 1
5448 7489 1666663
9939 9361 23962
5468 4181 1
6500 6106 6662054
7377 6736 1
1270 8989 89082
4307 8942 1
5141 7504 1
9013 3960 1
7813 4660 8642
9147 3903 1
8647 4937 1
8448 1799 1
5528 8660 8827
9245 5933 1
3933 5163 12207445
7471 3022 1
7221 2340 1
5828 8596 1
9010 7220 19215
7937 5902 1
5912 9832 63256
7558 1126 55001
6048 4957 69365
1664 9615 85105
1506 2977 10178
2405 6813 1
1276 5153 9780867
3388 638 7977943
1835 7538 82329
8737 634 1
7653 5403 1
2434 3509 78507
7351 6558 53820
329 4965 887167
3335 7576 13388116
5380 3448 1
5920 594 5901706
3072 5401 1
4854 918 1
5598 6243 13321
2526 8731 90004
4538 2107 65209
4978 9810 86644
8549 2884 2919085
6915 5072 39748
1006 8408 50527
147 1346 62669
8037 1253 14597380
923 8814 9738107
10085 7622 1
5024 4166 1
6485 3864 8872369
5983 8895 27308
4052 6463 1
2492 444 48290
417 3335 252317
4750 8629 10191303
1020 9491 6700016
9226 7066 4625259
3702 715 28954
3092 1763 1
1436 1751 1
6004 6635 1
8964 7092 8196
8616 3484 11154554
7613 9848 1
3850 7582 47814
9734 5972 1
3032 6927 1
3051 2397 1
7411 5047 7157212
838 2731 11616
1354 4776 28342
1932 3729 7730455
8561 147 1
1864 8135 1222189
86 2255 91735
9019 5657 5145335
3933 105 48516
6037 3236 12951367
2157 2930 1
8695 2240 4663397
1519 3647 81628
9666 4444 9559
200 6810 1
7041 8499 83634
6935 5687 28624
9252 5415 5876238
2751 7731 49268
5323 9207 8889298
6988 6478 83811
7445 9668 1
598 8651 1
4373 7894 1
1048 2142 60981
5701 7215 1
8171 5005 1
1135 7629 1
6002 2789 4319637
3276 2786 1
984 4380 89363
2896 2664 1
5482 9373 1
7197 521 4729472
2868 8398 10155326
9828 4195 3226312
1801 4222 5086670
9272 1276 1
2348 7768 46980
273 2932 1
150 6860 1
9308 4007 12878546
6426 9516 9582867
5225 4029 74836
6576 6037 1
2796 8096 37836
2296 3370 1
5842 2573 5472026
7950 3950 1
8476 6675 1
3296 5398 7349598
963 7086 5326728
3290 1623 1
2797 4974 2095608
5323 6917 2109195
4381 2173 1
8109 1782 1
5155 8374 76777
4141 3574 7025111
10033 202 52881
4269 7818 1
2393 4595 1
3143 1692 65485
7420 8856 1
8183 2048 2743252
6759 4812 39252
2998 1517 1
8459 5449 1
9359 10087 1
5787 277 6771620
8152 964 1
6492 3892 1
8378 4040 15732385
5313 4823 14088210
6797 2743 3595
941 2580 1
7486 7708 72353
1874 9788 1
3669 1126 4209820
3537 6716 1
9293 2278 1
138 2041 1
5950 6781 43770
7697 1108 2442505
697 9497 46010
5689 8104 1
4853 2091 1
4198 3702 41747
1645 5365 2287854
2356 9575 1
7649 7628 1
6468 9345 1478328
1288 10004 8547181
6512 1225 1
5144 456 6127966
7148 4360 80284
3335 2249 7379633
2664 145 4219365
5177 1065 84339
3100 9061 1
8524 8768 1
5518 683 1
6056 4582 88071
4224 4565 2185448
7486 4679 5951498
1863 2358 15008685
7946 6737 7021
3725 5971 1
2696 4341 1
3977 264 41742
7471 4239 1
2052 894 4423808
2316 9506 471917
3551 1839 1045740
5117 9361 1
9955 2471 67695
6640 3764 1
6673 9665 1
4695 2431 3944361
6279 4630 1
4047 4335 1
5022 3754 1
5796 4966 2108400
6818 4974 90385
2052 7524 25517
6188 7881 1
560 7809 13634771
4877 7669 1
8979 4163 1
3556 3215 6573081
9987 3252 4311000
7213 552 5989360
8583 9632 12893
8068 6838 3642114
582 3866 1
9756 2359 82891
5641 2216 4877924
1003 9832 1
9317 4454 1
6473 433 1
7558 7194 9483
7462 2074 7674070
9376 5169 1
1005 3413 79420
789 4357 1
8673 301 1
2262 6781 1054635
6463 8891 3164421
3703 6157 13489589
7377 4270 51153
1820 837 25701
3961 866 1
6890 8343 1
3944 684 981688
372 2877 1
3397 2901 3067
8759 7399 20452
6029 2918 1578634
8193 5106 1
9072 7513 1
4749 5591 85094
3133 1215 3459362
4403 5187 49005
935 768 2994715
2397 5107 85170
6974 7598 7037820
3802 2107 1
7993 1214 83525
562 959 1
3556 2437 1
3064 4579 1
7724 7487 591237
2298 158 59026
10045 9197 1
7596 6901 2083162
731 3829 82693
2075 6643 341281
6609 8026 1973
4970 7568 7927423
1610 1448 1
6653 2125 8764937
9777 3445 7304
7771 9017 1
6960 5921 1
9 9978 1
3328 5237 1
3138 8728 9436331
9690 5314 1
3077 7895 15249913
5646 2070 1
760 5704 4769149
4763 2273 1421072
2968 5845 1
1962 2259 10970822
6959 3439 69761
2515 1109 1
3927 3358 41189
5371 4673 82055
5485 8570 1
3167 1771 1
4448 966 7564686
4303 1219 1
2542 7765 13489
4102 5950 1
7265 9615 916675
4104 6265 1
5087 4256 1
205 2572 1
2354 389 1
4304 1115 1
7059 9274 6951024
4560 4389 35367
4343 6208 14643017
3072 2441 47201
8902 7626 12945536
5242 3409 5100975
3557 9716 1
3075 2078 1
7652 660 6415957
3061 6004 1142280
7166 4391 14720368
7644 6880 10553248
6009 2999 10936286
5585 310 10916844
8857 9191 1
2405 1936 72958
1610 4326 4170
7299 4458 4376913
2434 3915 46391
5427 4040 603588
7034 4133 1
3805 4313 1
9989 2190 98131
2181 2907 4414444
509 8139 1
7748 1533 1
769 6023 547610
6670 2906 17696
9936 2913 1
2210 6392 1
7063 1473 1
7018 5919 1
7696 55 1
7826 5048 1
1332 2011 328187
2960 5376 4519655
5914 8769 2294562
8017 6203 1
1042 4037 1
9475 1190 2055934
7652 4128 1254792
3600 7264 11625318
880 6985 1
6852 989 13879226
3874 3124 65879
4148 3163 13982465
4231 4598 1
7063 5484 19165
7550 5335 1
4611 3358 8793164
580 3468 24149
9197 1053 46308
5859 3743 1647674
1976 1921 1
9436 1481 1
2942 6252 9518542
8559 9310 89743
1958 8757 13348921
4144 3495 1
4778 8290 11390067
7552 7599 1569552
4048 7349 3611259
1933 2612 1
9366 9281 1
8496 7029 91349
9017 9108 1
6517 510 72447
9424 5298 98263
7642 9414 1
7656 6410 13284
4082 5077 7833
969 9233 1050693
3915 9345 59460
7750 7815 4074
5174 6030 1
8156 7180 9509720
1981 262 1
9150 365 1
5266 1363 1
339 4088 46809
8427 3547 72917
6570 5744 1
7765 411 101072
713 6015 17503
6777 8300 7884922
2558 8116 10451933
343 4973 59443
5406 807 1
6913 103 36034
6358 2983 50702
6690 6813 91170
974 3614 17169478
3373 1120 1
5394 8472 16147
978 6171 1
2614 1641 8291650
5723 9712 1
766 8756 44785
9993 9601 1
5626 1056 1
3123 4266 70954
7096 4587 5243261
5962 9219 70716
412 5684 1
7734 8509 1
131 8239 57213
5324 4256 8143789
4091 988 29846
2339 3047 1
7108 7881 1
1239 1210 64545
4701 7107 5180360
8858 2200 1
277 961 4195
1763 4277 8413711
2599 5259 10355531
180 6224 8026514
327 6294 1
1610 2342 40283
