1003 4738
427 908 10302777
222 445 22394761
848 440 12598398
761 182 1
805 400 761443
813 700 21838653
274 671 800079
495 818 89638
432 555 3482331
712 81 14506782
222 530 19910381
756 808 1
41 376 1
769 284 1
717 656 10638785
749 499 4411310
701 373 24704048
641 423 13820251
216 165 1
791 380 270931
495 872 1
502 931 1
858 463 1
845 196 687004
572 349 1485528
649 574 599957
437 383 1
992 281 9209354
822 180 208738
561 333 8728934
145 666 1
5 523 1
610 168 19716618
427 673 9798
666 341 1
103 737 84384
970 460 7942911
390 398 1960371
566 346 801583
291 541 325131
94 679 1
980 348 826917
303 97 24105708
598 753 1
369 628 593362
399 257 14694127
584 780 760623
59 727 1
181 882 1
148 197 1
443 496 1
988 572 1
754 553 1
308 445 692069
952 559 1
889 301 19614890
238 588 1
130 355 565648
243 635 1
126 955 7411207
872 935 433901
969 83 4174556
638 422 1
817 366 1
291 242 462175
946 40 1
443 782 619257
616 269 2642003
958 410 839082
647 859 7719258
86 308 397513
213 635 656339
643 777 1
402 171 1279835
942 356 1
954 476 1
967 719 4234491
127 341 1
425 956 578610
710 56 1
809 837 5766762
907 151 4240522
711 629 1
265 229 579118
839 526 1
368 518 1
956 178 7306159
71 280 23515218
585 661 202848
483 142 3182649
258 211 1
605 304 1
310 156 6029924
434 785 1
902 469 5368
209 313 573770
891 24 147359
441 981 1
48 725 1
188 115 43265
980 68 1
243 196 246023
94 618 1
211 958 13741533
535 164 744682
867 861 144525
242 205 1
222 686 2641643
345 905 10584282
202 611 1
622 749 331990
538 91 13992577
778 837 11374553
643 178 885493
122 664 1
147 140 1
811 803 3924814
942 506 1772629
360 165 1
351 293 1
857 361 1
28 159 9673980
43 19 1
131 984 5834
566 792 1
217 309 197393
418 744 3487476
847 54 606364
849 446 1
254 347 459952
126 319 25351434
917 33 13131878
338 114 542308
320 67 1
927 87 20663445
784 295 1
269 499 1
364 562 1
176 940 1
214 844 329379
709 977 1
796 777 794313
308 102 1
768 323 1
828 320 2247726
448 945 18890772
537 914 16229389
133 605 21174136
363 420 10840603
258 172 778405
570 48 253394
475 963 318814
640 664 1
627 511 1
976 448 103260
816 317 12432124
158 345 1
486 91 1
766 81 1
308 40 1
718 825 60509
185 760 1
629 170 16566082
621 739 22842250
14 744 1
416 424 7766187
962 204 1
528 983 245283
520 146 4219522
463 350 2609092
870 256 1
547 393 1
986 519 78863
814 11 245164
581 0 839991
659 258 1500809
118 952 1
24 141 6651953
96 980 659161
346 78 1
73 676 981431
853 335 8993990
210 697 3888606
249 232 1
274 425 199687
148 79 417283
897 320 11339254
717 655 3240412
134 87 223052
592 807 876845
181 469 16315889
261 94 973411
235 819 448566
996 374 639496
636 459 13468375
685 888 125188
67 923 1
451 973 1
521 71 2994992
921 924 6610853
188 379 11973
167 168 11601844
133 231 7207112
895 827 1
292 782 10118864
580 924 8618017
167 305 382399
56 495 382316
727 588 188465
296 799 1
363 349 27204
477 657 1
199 456 1
22 788 2560895
283 677 1
78 600 775319
887 464 1
485 947 20803925
92 678 1
86 803 878181
652 531 3215283
190 447 121944
576 675 1
785 861 4414262
189 652 18937346
132 226 4121702
522 807 956488
849 541 1010706
248 8 941197
930 126 1
364 83 35143
281 744 1
882 317 10943210
563 195 1
20 967 1
60 485 1387223
950 409 15139748
250 31 19491848
779 867 955198
184 411 15737799
550 384 1
210 541 1
238 266 342959
993 942 1
870 277 1
960 160 293286
216 479 14320776
951 445 3686908
860 536 9900288
538 553 3844245
628 289 12191291
580 202 967333
630 521 1
524 571 7255177
584 984 1074073
927 112 23943898
175 677 2229113
180 658 1819451
992 575 9760301
840 321 21959513
383 455 320888
438 462 8984810
612 456 1
592 969 1
886 408 11932781
145 624 1
500 950 1
602 430 420231
561 738 14897450
651 185 1
10 161 1
752 409 1
821 536 18925177
473 239 16824009
878 378 5634771
317 316 479772
956 689 7578684
873 837 9156988
341 790 11874825
109 251 936012
610 939 1
557 915 864392
520 260 522065
832 64 1
693 114 1
478 355 1
170 735 2904113
151 851 1
793 942 1
468 340 2426464
329 705 1
305 424 527797
333 294 64757
468 989 9223228
178 826 13923040
767 662 4997347
123 8 12113750
987 761 1
533 432 1
246 157 1
663 470 221257
238 290 4717571
140 616 2421005
22 594 1
860 665 1
401 755 4738357
610 806 1
652 717 1
133 525 951132
929 153 14395921
897 503 1
251 714 1
586 877 9566596
987 479 1
789 907 408345
655 103 1
896 123 1
981 254 16336774
27 373 798971
819 566 171807
749 775 12138447
684 951 10761783
556 192 1
471 382 1
624 102 121237
743 606 1
795 79 1
762 12 1
648 747 1
561 464 5307144
481 346 17737129
873 568 17869163
581 997 9696820
736 978 553097
439 825 2176893
840 49 4812118
427 293 1
956 339 391602
32 721 8296
337 31 11499153
216 872 20595
249 835 1
583 282 1
568 111 605870
468 174 1118859
538 772 5827346
913 551 157797
232 688 12225804
358 802 1
305 379 1
250 128 20286509
253 1002 946542
42 367 2216955
455 610 1
120 101 3495016
361 859 10861229
858 665 1
733 881 9444227
373 525 1
328 885 9515561
65 524 1
536 586 1
876 124 759956
326 299 1
873 386 310923
641 411 17913473
433 329 368635
871 675 5312291
306 274 1
340 301 20510332
988 278 19036165
806 490 16448743
562 746 21702387
788 455 1
906 129 608852
1000 881 1
0 472 21365297
922 107 22423435
452 480 1
735 865 4848290
62 648 1391936
406 643 11488633
445 761 1
622 130 14123621
446 594 1
210 720 1
847 359 1
401 61 6496728
611 189 762404
441 971 14278167
18 26 343525
274 782 9430397
634 60 1
165 276 641423
164 687 17163474
655 796 1
32 209 556927
221 788 1
231 872 1
237 573 1
648 315 1
183 812 3714212
667 284 1
877 483 7108073
61 545 1
183 786 308924
114 864 1
356 618 1
618 585 509300
679 972 20155205
577 941 1
588 728 821913
342 248 12478165
856 926 1
350 336 1
798 893 1
959 183 1
991 391 7660038
274 775 8284570
789 670 431838
136 264 17440111
192 852 1
801 781 1
746 891 1
499 352 9494248
468 593 11397388
301 479 1
734 647 794084
155 708 3156635
129 123 1
529 787 1
163 296 684317
515 476 1
91 463 7413226
353 614 14518548
843 622 1
255 29 1
113 259 2722436
423 259 1
692 582 1
302 580 1
329 230 12857966
936 372 1
857 778 1
931 392 6177767
308 453 573613
460 729 1
418 339 2520302
460 441 1
446 946 9003286
658 202 1
923 63 23511080
130 422 1
714 454 723263
643 656 732322
682 491 716196
56 733 1
154 603 278160
888 177 15094301
407 325 1
83 651 7065020
721 508 1
721 383 1
233 362 1
509 988 1
748 120 831581
293 873 949026
216 293 3476329
650 757 4033779
410 500 1
535 392 369260
887 727 1
833 639 453450
149 212 1
584 368 671784
973 679 864359
697 908 1
362 760 329662
10 168 12924361
423 625 1
641 783 15931766
544 908 871871
810 424 1
375 365 10414404
395 560 558727
653 480 1
386 277 3244961
295 170 17278197
592 110 1
692 556 119517
238 961 1
209 329 1286535
452 713 644610
803 925 481303
825 613 53977
246 607 9825560
824 42 6664520
576 472 2436914
772 703 17370503
930 787 10377587
340 68 7846755
26 552 1
800 900 518525
410 125 1
83 896 7254421
285 517 12193844
199 638 754024
476 696 18175821
349 187 21459872
308 522 1113380
993 356 1
449 322 11994742
254 414 1
184 67 258841
308 496 1
864 132 1
211 546 538278
691 69 702450
891 607 23426244
473 51 25081944
778 962 974108
982 135 510744
652 271 679153
62 86 1589644
710 237 1
960 214 959937
549 77 23846
1001 498 1
91 753 1
344 557 21540675
354 72 15991728
529 983 1
588 352 11696452
995 573 698527
307 525 1
562 474 235769
136 417 222592
965 753 7934738
142 62 799202
148 44 12004757
457 211 606057
217 680 7526732
873 277 3398778
187 255 218282
639 73 1
207 234 170901
878 217 3867355
199 612 1
831 687 7575877
454 496 1
341 909 1
462 348 5808048
866 963 1009390
584 348 1
614 930 1
270 162 721813
326 84 12918736
762 279 626207
245 229 1
541 774 745565
674 37 534504
349 174 888745
843 681 1
679 924 6490474
445 336 1
187 31 80802
764 273 185926
957 711 18104781
266 548 1
746 676 1
664 399 7012940
543 444 1
165 835 18390174
656 116 764111
991 992 1
582 412 4517959
468 68 9939757
698 394 469198
133 377 6274147
996 508 124039
575 821 1
430 708 12577372
324 536 8636504
121 957 5132683
728 426 16279658
24 61 3727529
782 603 1
12 854 2126441
705 423 11901842
535 301 17186191
740 522 118824
751 871 277338
485 356 87500
736 652 23726535
82 701 1
542 116 1
18 629 1
278 510 1
973 918 77828
521 752 25795407
125 382 1
903 730 5456555
28 168 19641579
737 151 16141765
810 956 1
547 346 10794049
467 603 2628027
753 705 1
727 840 1396917
907 883 9510398
918 393 1
797 321 293298
451 810 8699707
377 518 12296537
794 620 7512176
384 108 321370
405 415 328376
272 537 1
750 353 1
859 219 1
408 74 1
271 229 1
310 229 7471809
594 398 26006993
31 408 483748
796 520 7706996
364 367 8696669
698 590 757522
793 265 887254
681 8 11320396
916 527 21172936
99 42 12499068
353 723 6435903
299 506 8615942
435 338 989226
317 899 1
162 194 5876525
857 249 721659
468 145 23867542
126 627 11178077
608 706 1395037
321 117 1
873 540 441625
431 281 1
425 38 6767324
585 356 852118
718 471 13726419
832 457 873803
724 761 482962
764 851 1
218 905 1
115 348 17593358
815 530 8153158
929 290 8456055
373 895 1
586 505 21484327
967 90 76220
513 258 326680
138 381 12647386
232 984 14053797
68 250 1
881 647 1
875 763 17904357
643 455 1
877 572 1
929 461 335706
841 616 5753914
315 157 382821
232 137 542386
899 840 687017
332 148 11809033
602 428 236895
266 97 10291473
597 727 1
76 237 8734512
623 818 15444888
649 565 4913631
241 400 1
99 325 1
96 708 480842
904 422 9001505
612 572 1
686 203 7563630
787 532 1
157 972 9408285
98 146 968425
660 304 1
615 88 8273923
436 805 371342
423 306 11618247
842 176 288310
69 659 10862729
629 807 26510206
301 7 1
660 987 7972812
68 36 976221
624 779 193031
275 487 185176
934 101 511141
350 809 1
360 611 1
988 806 477499
191 282 1
324 579 9615392
292 646 594106
798 563 1
198 656 1645717
394 940 1
357 446 1
193 316 5486480
865 129 1
259 655 1
967 840 1
720 78 7594694
193 231 863842
399 371 1
933 890 12537868
36 887 10344605
630 297 4144080
136 237 1833969
303 37 23111603
459 778 1
692 919 296595
691 293 826182
662 524 402130
241 111 17454569
722 14 1
876 30 946004
930 30 10350346
29 309 10525763
368 182 1
43 263 9217698
653 678 1
889 726 1
221 752 9025935
461 374 1
770 331 8270288
885 176 1
571 834 1
1 940 378573
303 125 3200995
646 812 3019670
153 5 1071507
656 779 1
466 91 1
655 332 1
373 637 1
630 131 14851354
379 694 24687782
381 740 10407367
216 699 805631
730 565 1
529 575 1
774 73 1
98 262 10720108
802 725 2820385
981 996 1
783 455 1
689 839 449210
273 515 1
49 432 1
915 521 1
578 880 1
855 997 8316049
938 260 7606435
654 247 1
652 204 1
186 573 1
876 943 1
40 562 1
502 69 1350818
841 196 5454304
605 21 896303
638 958 794957
101 405 18929713
51 859 1
624 739 24340625
948 130 2662861
158 575 20331
3 787 1
259 771 112770
379 675 10410758
773 953 12914856
696 512 1
316 380 13075971
137 893 1
314 577 9247147
637 148 3308582
381 193 1
974 415 3210191
507 33 7910330
576 607 4818476
261 872 1
439 312 1
120 777 2597388
900 795 1
411 516 7333148
254 823 497324
127 753 1
326 101 1
500 271 8302687
383 354 1
422 991 137722
190 84 12980791
616 15 1
750 250 1
670 562 1
722 313 1
133 198 10773730
632 684 1
853 76 1
233 741 1
446 28 1
669 310 12714836
609 469 1
727 903 6951163
911 267 22786938
676 663 5118423
322 963 1580440
933 136 7964022
758 393 1
394 431 3198344
507 187 6641959
641 361 1
7 704 1
291 328 1
497 218 1
924 643 482859
827 138 1
260 187 13242402
757 247 1
680 530 223316
683 405 9272823
527 264 740867
151 941 1
877 51 13065848
264 755 1
145 467 1
581 981 5124638
483 627 1
324 498 1
407 600 1
404 534 1
235 612 1
522 525 1
910 313 3392429
890 25 13064756
685 897 7993941
561 60 208961
435 333 8465815
334 563 1021117
375 19 10719831
616 596 1
454 430 1
841 804 1
707 283 1
349 78 9246026
631 467 6835648
800 84 186455
852 774 11804752
639 566 12178415
563 115 1
219 374 1505290
743 260 1
705 758 2048856
764 166 1
109 705 1
398 762 1
860 629 1
149 23 8142349
527 122 1
843 32 1
138 420 11842350
467 771 1
475 74 1315637
241 842 1
342 336 16003300
166 603 743326
182 435 1
874 571 219617
319 380 1
843 179 1
740 512 1
18 154 5499624
225 981 1
208 831 10605055
371 93 10741692
55 745 1
354 35 1
80 741 1
321 894 1
18 275 10564031
944 230 20114086
148 248 634745
244 499 332991
358 86 20458840
369 360 76755
563 693 11629631
996 336 14291265
929 691 1
235 253 514096
279 816 1
331 789 1
639 211 1
356 985 12127135
24 463 19512035
438 476 712996
703 590 1
417 454 5681200
153 333 1
232 909 225470
111 176 1
908 793 1
661 387 378986
562 205 1
586 73 1
190 309 265786
667 674 17752475
766 354 1
811 202 1
941 586 1
109 941 1
199 974 122409
98 578 13032631
857 9 506655
193 21 16807516
512 804 1
252 482 1
325 283 1527158
424 341 33563
945 542 475288
362 363 1
530 817 1342699
839 685 1
421 114 1
637 746 14570271
382 664 4060502
2 537 917391
601 866 2280456
435 900 23027130
764 252 332882
931 22 11795700
517 826 8346950
984 362 1
699 576 19367378
528 392 1
725 360 10124463
547 823 8966914
767 775 1
271 102 1
611 720 198197
324 627 1
517 839 1
733 668 1
67 711 19227756
521 121 676729
599 226 1
508 2 162783
216 943 594080
491 517 13242848
168 972 868657
126 117 11111654
670 381 47116
404 711 8996011
700 667 1
257 432 1
240 686 1
500 43 1
153 85 1
479 990 1
973 608 318991
2 115 1
220 138 612948
53 458 7306311
920 589 1
600 891 1
46 151 564805
374 646 1
850 188 1902291
542 811 45958
817 892 554329
115 28 3738685
223 725 4213688
468 373 22432148
97 818 1
38 82 11368173
589 746 13787647
340 841 14333798
266 350 10073530
790 303 1
691 140 17199333
619 510 1
686 438 1
249 721 1
242 643 613268
111 329 1
316 190 2814997
127 756 582067
374 647 65744
387 889 957160
257 436 1
838 669 1
523 988 1
709 417 1
218 510 1
885 826 8860598
141 966 166039
598 5 4447367
373 775 1
144 183 1250687
649 213 661813
635 943 1
17 928 661871
606 823 8077730
395 302 701782
559 820 702985
2 538 1
34 4 1654390
99 648 12066058
305 474 1
783 163 303083
321 142 1
522 314 1
416 329 7212508
913 90 1
345 7 15123999
83 161 1
813 356 2664103
632 512 781033
621 849 7433724
776 311 338676
528 217 2623351
740 97 690951
971 331 1
814 110 369482
981 863 5801345
400 211 8115445
300 215 1
751 199 14855697
187 87 2144032
769 728 1
166 366 1
743 56 1
440 419 2391445
223 344 415448
513 662 32321
448 641 645824
263 967 1
655 295 1
132 220 318175
631 608 1
202 981 3943376
293 223 1
330 573 1
963 168 10579063
416 385 12352213
100 890 11685832
195 753 9450849
555 660 16166958
402 725 1
336 81 1
264 702 1
618 682 366019
101 950 1
259 846 4947498
220 490 17550735
739 174 1
309 359 1
748 378 17329166
903 208 1
687 490 1
17 545 7035270
896 185 1
583 850 1
292 36 9445945
686 448 1
842 820 1
705 662 13358603
618 327 629917
538 88 21021355
96 115 1
556 516 55732
913 405 822466
959 101 1
170 829 1
508 465 18783213
853 198 326655
770 733 691111
948 421 12851684
91 235 8411509
316 59 14447809
103 930 1331332
105 409 2057111
199 857 3728617
427 226 1
333 376 1
311 833 1
446 585 1
364 501 5707542
455 527 15757226
812 61 1584404
830 983 1094580
783 723 1
593 744 1
410 114 1
953 695 1
572 560 11392714
712 88 19698821
379 875 3436316
805 518 17878517
17 660 19605907
24 415 19100990
289 837 1
479 652 6329653
565 42 15483788
14 495 516076
126 536 22353319
815 643 1
886 148 2991832
423 532 1
990 425 1
982 901 68170
322 474 1
975 218 14638168
117 775 359125
189 128 19623878
826 92 1
422 789 653059
879 960 12742065
594 567 27340630
4 38 6141682
837 606 651386
628 942 1
832 757 1
279 2 1
508 502 380472
370 197 325998
149 671 1
319 542 1
449 126 1591664
360 969 493987
445 31 1
171 802 1
243 438 1
828 465 770219
851 678 144309
234 170 15287778
662 385 942255
574 274 1
191 155 1
41 99 1675556
893 179 5184589
55 810 225055
827 983 9728432
651 580 1
556 951 1
653 964 11672114
803 894 1
613 25 14558582
999 153 1
58 632 5434813
361 700 23979903
936 512 1
517 2 1
338 567 22884849
796 217 12461435
891 503 975813
953 754 708015
519 75 10359336
428 256 624046
111 186 2230976
408 505 1765330
444 733 9835171
596 463 7131900
476 868 14376782
629 765 920056
109 507 1
592 52 1
625 217 7292436
532 12 614831
154 392 1
701 246 18460829
899 332 408206
618 248 11838452
848 720 1
327 502 352669
68 896 13035991
266 451 981304
861 788 12551576
352 256 1
305 524 5402425
721 751 1
995 844 11762499
67 572 1
893 594 1
205 351 26889930
749 366 821924
464 231 1
345 41 10815564
523 277 6759212
308 572 1
929 963 2592264
129 528 1
806 973 2190555
580 511 477167
873 457 765592
144 319 24590917
452 848 1
966 68 527202
509 587 3916389
347 829 1
518 545 1
765 942 10205538
629 747 676856
727 291 8869356
772 779 1
370 468 1
463 336 1
169 675 1
936 567 2165022
882 832 6603613
804 264 26026019
406 952 4534664
212 948 10369320
831 105 1
233 63 94365
44 162 1
939 329 7686347
86 128 539564
947 817 1
287 17 1
212 754 22379056
915 186 5110746
791 869 769971
670 401 1
110 568 10781188
47 416 1
52 83 1
650 389 421922
704 786 1919621
171 80 3388456
670 326 67267
506 751 1
631 654 7284888
928 655 3772946
130 341 1
641 949 3418942
122 104 582718
733 59 13392671
207 604 10999321
608 605 17919104
650 434 831457
718 237 1
823 740 457800
467 395 60177
504 74 1
608 742 849718
126 132 1
435 30 9559158
160 718 1
142 766 603007
8 851 1
23 286 10808970
243 743 505777
609 792 1
535 604 5085761
558 373 22645691
865 560 1
650 554 16499514
134 938 1
825 794 787082
254 971 666776
462 814 598171
34 691 1824631
866 565 1
654 564 1
982 664 1
1002 906 1
492 440 21563447
432 950 1725896
711 649 1
696 154 1
383 93 311737
499 54 312471
692 948 1
996 62 18529021
656 649 1
886 275 7371438
299 53 7499661
581 507 13609645
441 878 973263
229 184 1
499 657 9274825
675 41 663095
382 713 16847184
399 489 10095635
753 698 12666624
594 165 350701
310 841 6174036
873 380 18077651
47 528 5695006
596 119 1
874 283 1
619 957 105062
99 168 12203900
819 50 1
825 509 684318
177 278 585414
16 64 3158371
576 369 1
103 370 838935
678 888 4528113
135 269 15193821
825 256 1
705 764 9773485
204 781 1
38 530 11704857
172 156 115268
635 825 5558679
616 658 1
507 942 1
913 602 1
920 866 707564
222 796 189078
510 563 1
397 369 29481
60 17 1
763 524 1
488 903 457696
831 163 716014
668 676 1
543 857 19164643
363 188 1
644 91 565360
706 681 59385
418 340 895575
789 123 1
709 528 2751643
229 674 5192164
704 319 25352259
393 683 10826863
24 445 20540575
93 38 742837
141 718 730609
241 323 11770153
171 154 941384
9 963 1
559 945 20530129
269 659 1
420 158 365550
188 161 243510
505 193 1
102 550 6420037
888 5 21585619
608 705 1
856 95 732857
829 782 6017194
706 895 1
863 841 5408663
512 391 508473
28 867 1
624 558 64520
448 375 2031684
223 915 23091998
967 34 1
129 662 1
214 149 1
596 243 6235952
275 869 7426360
937 673 1
158 376 1
193 88 16685118
409 81 783515
394 120 1
992 910 6159262
237 593 3629313
264 9 1
656 756 13042809
219 605 18829230
101 786 1
969 590 8469997
830 352 2805866
965 748 1
382 342 826197
461 81 6630472
739 610 1
815 767 1
158 125 1
532 146 11235044
636 591 19865214
677 427 9072808
136 278 12231862
684 665 610078
336 685 1
646 996 111020
478 297 1
382 997 11312334
966 743 13187602
408 876 1
455 601 226674
668 795 5802034
499 966 6209035
657 295 1
629 946 13937852
133 604 11779859
879 250 3603547
274 666 18417076
621 935 293084
592 545 1
352 780 12466457
712 838 1
381 441 1
893 236 1
744 377 682309
174 372 1
320 861 1
367 96 1
585 430 509333
185 342 1
353 781 1
691 312 298453
127 845 1
130 76 1
421 737 1
829 383 3005540
66 261 6105596
113 192 1
463 678 1
283 543 1
162 532 1
774 31 12009474
57 443 632869
17 822 1658586
557 469 1
462 765 1
253 972 1
228 782 9431466
303 77 11762918
476 255 17808155
190 977 1
692 14 1
595 137 805667
745 483 17418155
835 620 757024
34 469 17004786
274 423 11866307
657 425 1
35 477 20822003
261 876 123641
14 893 1
14 339 1
585 691 977744
408 981 1
40 36 1269587
486 374 1
689 937 14582097
148 554 846300
264 294 1
228 52 14987898
877 631 1
296 538 1
783 536 5934208
432 970 5991295
736 626 7138466
480 743 10525756
309 259 1
691 416 308683
353 130 11093427
420 92 1
0 34 55334
399 818 7225917
510 424 9269457
863 711 10530422
796 144 1
602 113 103769
257 467 1
136 493 1
906 331 2540716
153 649 1
721 804 1
560 552 1
588 816 1
869 423 1
57 388 377875
594 917 12256235
792 634 252551
1 305 8670997
406 101 4300562
232 986 1
718 859 419010
358 250 200938
380 749 1
403 229 1
94 289 13273827
1 921 646472
479 700 7472864
728 261 8948894
